"고시날짜";"순금구매";"순금판매";"18K판매";"14K판매"
"2022.06.06";"319,000";"294,000";"211,700";"163,200"
"2022.06.04";"318,000";"294,000";"211,700";"163,200"
"2022.06.03";"319,500";"294,000";"211,700";"163,200"
"2022.06.02";"318,500";"293,000";"211,000";"162,700"
"2022.06.01";"315,000";"292,000";"210,300";"162,100"
"2022.05.31";"317,000";"292,000";"210,300";"162,100"
"2022.05.30";"318,000";"292,500";"210,600";"162,400"
"2022.05.28";"320,000";"293,000";"211,000";"162,700"
"2022.05.27";"320,000";"293,500";"211,400";"162,900"
"2022.05.26";"322,000";"293,500";"211,400";"162,900"
"2022.05.25";"323,000";"293,500";"211,400";"162,900"
"2022.05.24";"323,000";"293,500";"211,400";"162,900"
"2022.05.23";"323,000";"293,500";"211,400";"162,900"
"2022.05.21";"324,000";"293,500";"211,400";"162,900"
"2022.05.20";"323,000";"293,000";"211,000";"162,700"
"2022.05.19";"320,500";"292,500";"210,600";"162,400"
"2022.05.18";"318,000";"292,000";"210,300";"162,100"
"2022.05.17";"322,000";"292,000";"210,300";"162,100"
"2022.05.16";"320,000";"291,500";"209,900";"161,800"
"2022.05.14";"321,500";"291,500";"209,900";"161,800"
"2022.05.13";"323,000";"293,000";"211,000";"162,700"
"2022.05.12";"328,000";"293,000";"211,000";"162,700"
"2022.05.11";"325,000";"292,000";"210,300";"162,100"
"2022.05.10";"327,000";"293,000";"211,000";"162,700"
"2022.05.09";"328,500";"293,000";"211,000";"162,700"
"2022.05.07";"328,500";"292,000";"210,300";"162,100"
"2022.05.06";"328,000";"292,000";"210,300";"162,100"
"2022.05.05";"330,000";"292,000";"210,300";"162,100"
"2022.05.04";"326,000";"291,500";"209,900";"161,800"
"2022.05.03";"326,000";"291,500";"209,900";"161,800"
"2022.05.02";"328,000";"291,500";"209,900";"161,800"
"2022.04.30";"329,000";"291,500";"209,900";"161,800"
"2022.04.29";"331,000";"291,500";"209,900";"161,800"
"2022.04.28";"328,000";"291,500";"209,900";"161,800"
"2022.04.27";"329,000";"290,500";"209,200";"161,300"
"2022.04.26";"328,000";"290,000";"208,800";"161,000"
"2022.04.25";"329,000";"289,000";"208,100";"160,400"
"2022.04.23";"330,000";"290,000";"208,800";"161,000"
"2022.04.22";"332,000";"290,500";"209,200";"161,300"
"2022.04.21";"331,000";"290,000";"208,800";"161,000"
"2022.04.20";"329,500";"289,000";"208,100";"160,400"
"2022.04.19";"335,500";"291,500";"209,900";"161,800"
"2022.04.18";"336,000";"291,500";"209,900";"161,800"
"2022.04.16";"332,500";"290,000";"208,800";"161,000"
"2022.04.15";"332,500";"290,000";"208,800";"161,000"
"2022.04.14";"331,500";"290,000";"208,800";"161,000"
"2022.04.13";"331,000";"290,000";"208,800";"161,000"
"2022.04.12";"332,000";"290,000";"208,800";"161,000"
"2022.04.11";"331,000";"288,000";"207,400";"159,900"
"2022.04.09";"328,000";"288,000";"207,400";"159,900"
"2022.04.08";"324,000";"287,500";"207,000";"159,600"
"2022.04.07";"321,500";"287,000";"206,700";"159,300"
"2022.04.06";"321,500";"286,500";"206,300";"159,100"
"2022.04.05";"321,000";"286,000";"206,000";"158,800"
"2022.04.04";"322,000";"286,000";"206,000";"158,800"
"2022.04.02";"323,000";"286,000";"206,000";"158,800"
"2022.04.01";"323,000";"286,000";"206,000";"158,800"
"2022.03.31";"320,000";"285,000";"205,200";"158,200"
"2022.03.30";"320,000";"284,000";"204,500";"157,700"
"2022.03.29";"323,000";"283,000";"203,800";"157,100"
"2022.03.28";"326,000";"284,000";"204,500";"157,700"
"2022.03.26";"329,000";"285,000";"205,200";"158,200"
"2022.03.25";"326,000";"285,000";"205,200";"158,200"
"2022.03.24";"324,000";"284,000";"204,500";"157,700"
"2022.03.23";"322,000";"283,000";"203,800";"157,100"
"2022.03.22";"323,000";"284,000";"204,500";"157,700"
"2022.03.21";"320,000";"283,000";"203,800";"157,100"
"2022.03.19";"320,000";"283,000";"203,800";"157,100"
"2022.03.18";"321,500";"284,000";"204,500";"157,700"
"2022.03.17";"323,000";"284,000";"204,500";"157,700"
"2022.03.16";"326,000";"284,000";"204,500";"157,700"
"2022.03.15";"330,000";"286,000";"206,000";"158,800"
"2022.03.14";"334,000";"287,500";"207,000";"159,600"
"2022.03.12";"335,000";"287,500";"207,000";"159,600"
"2022.03.11";"335,000";"287,500";"207,000";"159,600"
"2022.03.10";"333,000";"287,000";"206,700";"159,300"
"2022.03.09";"344,000";"291,000";"209,600";"161,600"
"2022.03.08";"338,000";"289,000";"208,100";"160,400"
"2022.03.07";"333,000";"288,000";"207,400";"159,900"
"2022.03.05";"331,000";"286,500";"206,300";"159,100"
"2022.03.04";"325,500";"285,500";"205,600";"158,500"
"2022.03.03";"321,500";"286,000";"206,000";"158,800"
"2022.03.02";"324,000";"286,500";"206,300";"159,100"
"2022.03.01";"318,000";"286,500";"206,300";"159,100"
"2022.02.28";"318,000";"286,500";"206,300";"159,100"
"2022.02.26";"316,000";"286,500";"206,300";"159,100"
"2022.02.25";"320,000";"287,000";"206,700";"159,300"
"2022.02.24";"323,000";"287,000";"206,700";"159,300"
"2022.02.23";"314,000";"286,000";"206,000";"158,800"
"2022.02.22";"316,000";"286,500";"206,300";"159,100"
"2022.02.21";"314,000";"286,000";"206,000";"158,800"
"2022.02.19";"315,000";"287,000";"206,700";"159,300"
"2022.02.18";"314,000";"287,000";"206,700";"159,300"
"2022.02.17";"313,000";"287,500";"207,000";"159,600"
"2022.02.16";"309,000";"286,000";"206,000";"158,800"
"2022.02.15";"312,500";"287,500";"207,000";"159,600"
"2022.02.14";"310,000";"286,500";"206,300";"159,100"
"2022.02.12";"305,500";"285,500";"205,600";"158,500"
"2022.02.11";"305,000";"285,000";"205,200";"158,200"
"2022.02.10";"305,000";"285,000";"205,200";"158,200"
"2022.02.09";"304,500";"284,500";"204,900";"157,900"
"2022.02.08";"304,000";"284,500";"204,900";"157,900"
"2022.02.07";"303,000";"284,000";"204,500";"157,700"
"2022.02.05";"302,500";"284,000";"204,500";"157,700"
"2022.02.04";"302,500";"284,000";"204,500";"157,700"
"2022.02.03";"303,500";"284,000";"204,500";"157,700"
"2022.02.02";"303,500";"284,000";"204,500";"157,700"
"2022.01.31";"303,000";"283,500";"204,200";"157,400"
"2022.01.29";"303,000";"283,500";"204,200";"157,400"
"2022.01.28";"303,000";"283,000";"203,800";"157,100"
"2022.01.27";"305,000";"283,500";"204,200";"157,400"
"2022.01.26";"307,000";"285,500";"205,600";"158,500"
"2022.01.25";"306,000";"285,500";"205,600";"158,500"
"2022.01.24";"305,000";"285,000";"205,200";"158,200"
"2022.01.23";"304,000";"285,000";"205,200";"158,200"
"2022.01.22";"304,000";"285,000";"205,200";"158,200"
"2022.01.21";"304,000";"285,000";"205,200";"158,200"
"2022.01.20";"303,000";"284,500";"204,900";"157,900"
"2022.01.19";"301,000";"283,000";"203,800";"157,100"
"2022.01.18";"302,000";"283,000";"203,800";"157,100"
"2022.01.17";"302,500";"283,000";"203,800";"157,100"
"2022.01.15";"301,500";"283,000";"203,800";"157,100"
"2022.01.14";"301,500";"284,000";"204,500";"157,700"
"2022.01.13";"301,500";"284,000";"204,500";"157,700"
"2022.01.12";"302,500";"284,000";"204,500";"157,700"
"2022.01.11";"301,000";"283,000";"203,800";"157,100"
"2022.01.10";"300,000";"282,500";"203,400";"156,800"
"2022.01.08";"301,500";"283,000";"203,800";"157,100"
"2022.01.07";"301,000";"282,500";"203,400";"156,800"
"2022.01.06";"302,000";"283,500";"204,200";"157,400"
"2022.01.05";"302,000";"283,500";"204,200";"157,400"
"2022.01.04";"300,500";"282,500";"203,400";"156,800"
"2022.01.03";"303,000";"284,000";"204,500";"157,700"
"2022.01.01";"303,000";"284,000";"204,500";"157,700"
"2021.12.31";"302,000";"283,000";"203,800";"157,100"
"2021.12.30";"298,000";"282,000";"203,100";"156,600"
"2021.12.29";"299,000";"282,000";"203,100";"156,600"
"2021.12.28";"300,000";"282,000";"203,100";"156,600"
"2021.12.27";"299,000";"282,000";"203,100";"156,600"
"2021.12.25";"299,500";"282,000";"203,100";"156,600"
"2021.12.24";"300,000";"282,000";"203,100";"156,600"
"2021.12.23";"299,000";"281,500";"202,700";"156,300"
"2021.12.22";"297,500";"281,000";"202,400";"156,000"
"2021.12.21";"297,500";"281,000";"202,400";"156,000"
"2021.12.20";"298,500";"281,000";"202,400";"156,000"
"2021.12.18";"298,500";"281,000";"202,400";"156,000"
"2021.12.17";"298,000";"280,500";"202,000";"155,700"
"2021.12.16";"295,500";"280,000";"201,600";"155,400"
"2021.12.15";"293,500";"279,000";"200,900";"154,900"
"2021.12.14";"295,000";"280,000";"201,600";"155,400"
"2021.12.13";"293,500";"280,000";"201,600";"155,400"
"2021.12.11";"293,500";"280,000";"201,600";"155,400"
"2021.12.10";"292,500";"279,000";"200,900";"154,900"
"2021.12.09";"293,000";"279,000";"200,900";"154,900"
"2021.12.08";"294,000";"279,000";"200,900";"154,900"
"2021.12.07";"294,000";"279,000";"200,900";"154,900"
"2021.12.06";"294,500";"280,000";"201,600";"155,400"
"2021.12.04";"294,500";"279,500";"201,300";"155,200"
"2021.12.03";"293,000";"278,500";"200,600";"154,600"
"2021.12.02";"293,000";"278,500";"200,600";"154,600"
"2021.12.01";"294,000";"278,500";"200,600";"154,600"
"2021.11.30";"296,000";"280,000";"201,600";"155,400"
"2021.11.29";"298,000";"281,500";"202,700";"156,300"
"2021.11.27";"298,000";"281,500";"202,700";"156,300"
"2021.11.26";"299,000";"281,000";"202,400";"156,000"
"2021.11.25";"296,000";"281,000";"202,400";"156,000"
"2021.11.24";"297,000";"281,000";"202,400";"156,000"
"2021.11.23";"300,000";"282,500";"203,400";"156,800"
"2021.11.22";"304,000";"284,000";"204,500";"157,700"
"2021.11.20";"304,000";"283,500";"204,200";"157,400"
"2021.11.19";"304,000";"283,500";"204,200";"157,400"
"2021.11.18";"305,000";"283,500";"204,200";"157,400"
"2021.11.17";"303,500";"283,500";"204,200";"157,400"
"2021.11.16";"304,000";"283,500";"204,200";"157,400"
"2021.11.15";"304,000";"283,500";"204,200";"157,400"
"2021.11.13";"303,500";"282,500";"203,400";"156,800"
"2021.11.12";"303,000";"282,000";"203,100";"156,600"
"2021.11.11";"303,000";"282,000";"203,100";"156,600"
"2021.11.10";"299,000";"279,500";"201,300";"155,200"
"2021.11.09";"299,000";"279,000";"200,900";"154,900"
"2021.11.08";"299,000";"278,000";"200,200";"154,300"
"2021.11.07";"299,000";"276,500";"199,100";"153,500"
"2021.11.06";"299,000";"276,500";"199,100";"153,500"
"2021.11.05";"296,000";"275,500";"198,400";"153,000"
"2021.11.04";"293,000";"274,500";"197,700";"152,400"
"2021.11.03";"293,500";"275,000";"198,000";"152,700"
"2021.11.02";"293,500";"275,000";"198,000";"152,700"
"2021.11.01";"292,000";"274,500";"197,700";"152,400"
"2021.10.30";"292,000";"274,500";"197,700";"152,400"
"2021.10.29";"292,500";"275,000";"198,000";"152,700"
"2021.10.28";"292,500";"275,000";"198,000";"152,700"
"2021.10.27";"292,000";"274,500";"197,700";"152,400"
"2021.10.26";"293,000";"275,000";"198,000";"152,700"
"2021.10.25";"293,000";"275,000";"198,000";"152,700"
"2021.10.23";"293,000";"275,000";"198,000";"152,700"
"2021.10.22";"292,000";"275,000";"198,000";"152,700"
"2021.10.21";"291,000";"274,500";"197,700";"152,400"
"2021.10.20";"290,000";"274,000";"197,300";"152,100"
"2021.10.19";"292,000";"274,000";"197,300";"152,100"
"2021.10.18";"292,000";"274,500";"197,700";"152,400"
"2021.10.16";"292,000";"274,000";"197,300";"152,100"
"2021.10.15";"294,500";"275,500";"198,400";"153,000"
