,종가,오픈,고가,저가,변동 %,날짜
0,520.95,503.31,521.34,500.97,3.24,2001-01-02
1,521.43,512.74,524.58,510.7,0.09,2001-01-03
2,558.02,551.53,567.16,550.91,7.02,2001-01-04
3,580.85,559.54,581.41,555.4,4.09,2001-01-05
4,586.65,573.72,587.91,572.48,1.0,2001-01-08
5,589.92,583.85,589.92,572.55,0.56,2001-01-09
6,560.81,586.63,593.86,560.81,-4.93,2001-01-10
7,561.79,568.26,570.57,557.86,0.17,2001-01-11
8,587.87,578.95,601.09,578.95,4.64,2001-01-12
9,599.0,595.06,608.22,588.87,1.89,2001-01-15
10,603.42,600.68,608.51,588.42,0.74,2001-01-16
11,595.83,600.75,610.47,587.26,-1.26,2001-01-17
12,604.05,597.15,612.9,596.66,1.38,2001-01-18
13,619.78,622.25,622.25,613.66,2.6,2001-01-19
14,627.45,622.52,627.45,614.08,1.24,2001-01-22
15,591.73,623.68,624.0,591.73,-5.69,2001-01-26
16,596.54,592.75,598.11,587.42,0.81,2001-01-29
17,591.34,601.29,608.05,591.34,-0.87,2001-01-30
18,617.91,594.76,617.91,593.54,4.49,2001-01-31
19,612.3,606.49,620.78,605.42,-0.91,2001-02-01
20,608.48,614.51,616.67,602.13,-0.62,2001-02-02
21,579.16,594.91,595.47,575.58,-4.82,2001-02-05
22,586.58,577.25,587.23,573.52,1.28,2001-02-06
23,576.19,584.93,584.93,574.44,-1.77,2001-02-07
24,591.57,577.12,591.66,577.12,2.67,2001-02-08
25,595.47,588.36,598.97,581.49,0.66,2001-02-09
26,599.2,587.62,602.9,584.37,0.63,2001-02-12
27,598.78,603.15,605.35,594.41,-0.07,2001-02-13
28,603.83,594.93,607.59,592.32,0.84,2001-02-14
29,603.63,611.26,612.26,602.41,-0.03,2001-02-15
30,604.92,605.93,611.54,604.27,0.21,2001-02-16
31,596.67,595.66,597.76,588.73,-1.36,2001-02-19
32,608.74,595.77,609.36,593.17,2.02,2001-02-20
33,594.53,605.49,605.49,594.45,-2.33,2001-02-21
34,583.41,589.3,589.3,571.72,-1.87,2001-02-22
35,583.52,579.97,590.49,579.45,0.02,2001-02-23
36,585.32,585.16,588.92,580.59,0.31,2001-02-26
37,577.57,590.14,597.12,576.66,-1.32,2001-02-27
38,578.1,571.64,581.44,571.04,0.09,2001-02-28
39,559.44,574.61,574.61,557.2,-3.23,2001-03-02
40,565.38,549.27,565.38,549.27,1.06,2001-03-05
41,568.15,569.14,574.9,564.12,0.49,2001-03-06
42,568.64,574.52,576.94,566.08,0.09,2001-03-07
43,579.28,569.79,579.28,568.09,1.87,2001-03-08
44,565.76,572.11,573.67,562.53,-2.33,2001-03-09
45,545.05,554.36,556.84,545.05,-3.66,2001-03-12
46,527.97,527.94,533.25,522.65,-3.13,2001-03-13
47,543.28,541.42,545.0,539.12,2.9,2001-03-14
48,541.83,523.38,542.3,522.74,-0.27,2001-03-15
49,538.67,541.31,543.81,536.7,-0.58,2001-03-16
50,534.33,531.84,541.2,528.88,-0.81,2001-03-19
51,531.59,542.13,542.79,531.39,-0.51,2001-03-20
52,532.59,520.71,532.59,520.41,0.19,2001-03-21
53,527.05,530.88,532.25,524.25,-1.04,2001-03-22
54,537.97,532.01,539.19,531.63,2.07,2001-03-23
55,545.98,544.75,550.26,542.09,1.49,2001-03-26
56,532.9,546.27,546.27,532.9,-2.4,2001-03-27
57,528.79,541.43,541.71,528.79,-0.77,2001-03-28
58,523.8,522.99,531.85,521.04,-0.94,2001-03-29
59,523.22,524.63,528.6,516.97,-0.11,2001-03-30
60,515.2,520.56,522.09,512.4,-1.53,2001-04-02
61,503.26,505.38,507.67,498.27,-2.32,2001-04-03
62,493.69,496.03,501.32,493.57,-1.9,2001-04-04
63,506.22,518.06,518.2,504.54,2.54,2001-04-06
64,497.46,503.07,506.46,497.46,-1.73,2001-04-09
65,491.21,500.97,501.65,491.21,-1.26,2001-04-10
66,507.53,505.24,508.75,501.63,3.32,2001-04-11
67,514.21,516.73,519.48,511.73,1.32,2001-04-12
68,516.1,518.64,518.65,512.35,0.37,2001-04-13
69,508.35,514.55,518.26,508.35,-1.5,2001-04-16
70,513.97,506.92,516.12,505.92,1.11,2001-04-17
71,540.0,523.26,540.0,520.31,5.06,2001-04-18
72,563.31,567.49,581.63,558.97,4.32,2001-04-19
73,556.29,567.66,572.08,556.22,-1.25,2001-04-20
74,560.94,559.09,566.47,556.52,0.84,2001-04-23
75,555.64,552.32,556.48,547.39,-0.94,2001-04-24
76,566.34,552.69,566.34,551.15,1.93,2001-04-25
77,561.62,569.58,570.99,560.84,-0.83,2001-04-26
78,556.63,561.06,563.76,553.67,-0.89,2001-04-27
79,577.36,565.44,577.52,564.72,3.72,2001-04-30
80,583.7,586.27,587.18,580.39,1.1,2001-05-02
81,584.4,583.22,584.68,576.53,0.12,2001-05-03
82,585.6,575.69,585.6,575.69,0.21,2001-05-04
83,596.5,588.88,599.05,584.79,1.86,2001-05-07
84,590.91,594.32,597.95,590.65,-0.94,2001-05-08
85,578.84,589.06,589.42,578.34,-2.04,2001-05-09
86,581.38,579.16,584.33,575.43,0.44,2001-05-10
87,583.06,581.74,584.28,577.91,0.29,2001-05-11
88,584.08,585.13,588.13,580.82,0.17,2001-05-14
89,581.3,583.73,585.74,579.08,-0.48,2001-05-15
90,572.4,578.68,585.67,572.36,-1.53,2001-05-16
91,596.39,588.15,596.39,585.59,4.19,2001-05-17
92,600.54,594.56,600.54,591.63,0.7,2001-05-18
93,618.96,606.87,620.89,606.46,3.07,2001-05-21
94,617.99,628.82,630.08,617.99,-0.16,2001-05-22
95,622.6,620.03,625.8,616.56,0.75,2001-05-23
96,622.28,614.22,624.46,612.62,-0.05,2001-05-24
97,624.11,626.97,633.16,623.05,0.29,2001-05-25
98,618.47,620.2,622.67,618.14,-0.9,2001-05-28
99,632.05,616.94,632.09,615.87,2.2,2001-05-29
100,628.42,629.45,629.9,620.95,-0.57,2001-05-30
101,612.16,612.45,617.66,608.8,-2.59,2001-05-31
102,607.07,615.67,617.09,603.84,-0.83,2001-06-01
103,610.91,609.06,613.21,606.72,0.63,2001-06-04
104,597.66,612.63,615.0,597.66,-2.17,2001-06-05
105,601.14,594.28,601.35,594.28,0.58,2001-06-07
106,621.78,608.48,621.9,608.33,3.43,2001-06-08
107,608.23,612.46,615.41,607.2,-2.18,2001-06-11
108,607.15,605.36,611.88,603.91,-0.18,2001-06-12
109,614.05,611.79,614.05,607.48,1.14,2001-06-13
110,613.75,612.96,623.37,610.36,-0.05,2001-06-14
111,618.96,609.54,618.96,604.37,0.85,2001-06-15
112,608.78,617.66,619.82,607.93,-1.64,2001-06-18
113,608.91,606.04,615.85,605.8,0.02,2001-06-19
114,595.72,603.29,604.78,593.75,-2.17,2001-06-20
115,595.53,597.72,599.76,589.46,-0.03,2001-06-21
116,599.08,597.34,602.7,593.33,0.6,2001-06-22
117,598.02,597.37,602.77,594.04,-0.18,2001-06-25
118,588.71,597.81,598.96,586.12,-1.56,2001-06-26
119,584.76,587.31,590.74,580.75,-0.67,2001-06-27
120,583.27,585.66,591.03,582.91,-0.25,2001-06-28
121,595.13,594.02,595.13,589.18,2.03,2001-06-29
122,596.74,593.03,598.24,592.9,0.27,2001-07-02
123,594.31,598.67,598.67,593.56,-0.41,2001-07-03
124,597.25,591.01,597.25,586.31,0.49,2001-07-04
125,593.61,598.95,600.51,592.8,-0.61,2001-07-05
126,578.54,581.85,585.08,578.13,-2.54,2001-07-06
127,560.0,565.34,568.21,555.66,-3.2,2001-07-09
128,558.6,563.21,565.51,557.51,-0.25,2001-07-10
